Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
2024-06-02 21:54:38,Refund,704-2773767-4230095,2024-06-04 16:06:58,2024-06-02 17:54:25,394086214670,Product A,-646.0
2024-06-02 21:58:34,Shipment,704-5617850-0232925,2024-06-03 15:35:37,2024-06-02 17:52:07,392016887972,Product A,672.0
2024-06-02 22:01:28,Shipment,804-3974316-8172440,2024-06-03 04:09:35,2024-06-02 18:01:16,393594120546,Product A,1683.0
2024-06-02 22:02:11,Shipment,704-3465018-2615251,2024-06-03 15:48:01,2024-06-02 16:40:46,392582921681,Product A,447.0
2024-06-02 22:03:33,Shipment,504-7110529-6693765,2024-06-04 11:36:35,2024-06-02 18:03:28,393613179551,Product A,217.0
2024-06-02 22:04:16,Shipment,504-7242727-3636560,2024-06-03 09:26:34,2024-06-02 18:04:08,392614381645,Product A,805.8
2024-06-02 22:08:20,Shipment,604-1945170-3636171,2024-06-03 10:59:11,2024-06-02 12:40:33,393042241541,Product A,818.0
2024-06-02 22:08:28,Shipment,504-7833905-2699047,2024-06-03 04:06:16,2024-06-02 17:57:05,392565982953,Product A,217.0
2024-06-02 22:08:39,Shipment,304-9713908-3691636,2024-06-03 15:48:25,2024-06-02 18:08:29,394129215883,Product A,616.0
2024-06-02 22:10:53,Shipment,504-8293756-1255109,2024-06-04 00:09:18,2024-06-02 18:10:46,392045507532,Product A,218.0
2024-06-02 22:13:12,Shipment,804-0055197-7319249,2024-06-03 15:54:01,2024-06-02 18:12:43,394131234995,Product A,1374.0
2024-06-02 22:13:49,Shipment,171-3197106-3232306,2024-06-03 11:49:34,2024-06-02 18:13:39,392614423400,Product A,1224.0
2024-06-02 22:13:49,Refund,171-3197106-3232306,2024-06-03 11:49:34,2024-06-02 18:13:39,392614423400,Product A,-1224.0
2024-06-02 22:14:00,Shipment,504-0673921-7534412,2024-06-03 11:19:35,2024-06-02 18:11:26,392058094406,Product A,632.0
2024-06-02 22:15:12,Shipment,404-8952249-4530253,2024-06-03 15:52:40,2024-06-02 18:14:45,393569484217,Product A,353.0
2024-06-02 22:15:53,Shipment,604-2574495-4370334,2024-06-03 15:48:01,2024-06-02 18:15:27,394086699062,Product A,672.0
2024-06-02 22:16:26,Shipment,204-0946259-4317126,2024-06-03 10:24:16,2024-06-02 18:16:14,393567700077,Product A,347.0
2024-06-02 22:17:12,Shipment,704-0459726-7438623,2024-06-03 15:45:23,2024-06-02 18:15:03,392015616230,Product A,1272.0
2024-06-02 22:17:12,Refund,704-0459726-7438623,2024-06-03 15:45:23,2024-06-02 18:15:03,392015616230,Product A,-1272.0
2024-06-02 22:17:16,Shipment,704-2780704-5178730,2024-06-03 15:45:18,2024-06-02 18:16:52,393585299190,Product A,1230.0
2024-06-02 22:17:16,Refund,704-2780704-5178730,2024-06-03 15:45:18,2024-06-02 18:16:52,393585299190,Product A,-1230.0
2024-06-02 22:18:24,Shipment,604-6252135-7230692,2024-06-04 23:09:19,2024-06-02 18:18:18,393046314103,Product A,510.0
2024-06-02 22:21:12,Shipment,704-4250106-8219450,2024-06-03 15:46:16,2024-06-02 18:20:57,393588399181,Product A,1618.41
2024-06-02 22:21:12,Refund,704-4250106-8219450,2024-06-03 15:46:16,2024-06-02 18:20:57,393588399181,Product A,-1618.41
2024-06-02 22:25:59,Shipment,204-7309762-0215066,2024-06-03 15:48:47,2024-06-02 18:25:45,393590762960,Product A,1138.0
2024-06-02 22:29:27,Shipment,604-4257996-0334253,2024-06-03 00:35:15,2024-06-02 22:24:25,392614505095,Product A,994.0
2024-06-02 22:31:21,Shipment,804-6092437-0634262,2024-06-03 15:47:26,2024-06-02 18:31:12,393575072569,Product A,502.0
2024-06-02 22:33:12,Shipment,704-7191001-2357298,2024-06-03 15:37:59,2024-06-02 18:32:49,393590763086,Product A,612.0
2024-06-02 22:33:12,Shipment,504-1910351-3374597,2024-06-04 00:12:19,2024-06-02 00:35:51,393031474990,Product A,1159.0
2024-06-02 22:35:12,Shipment,304-0554146-7074728,2024-06-04 16:02:37,2024-06-02 18:34:59,393072545658,Product A,486.0
2024-06-02 22:39:01,Shipment,171-9692941-1136505,2024-06-04 01:21:56,2024-06-02 18:38:58,392586352880,Product A,375.0
2024-06-02 22:39:46,Shipment,704-3309118-9313978,2024-06-03 04:54:13,2024-06-02 18:20:57,392034845514,Product A,1430.54
2024-06-02 22:39:46,Refund,704-3309118-9313978,2024-06-03 04:54:13,2024-06-02 18:20:57,392034845514,Product A,-1430.54
2024-06-02 22:40:50,Shipment,204-0851092-8015225,2024-06-03 15:36:44,2024-06-02 18:40:30,393039413905,Product A,965.0
2024-06-02 22:41:31,Shipment,704-5226950-9330681,2024-06-03 15:21:35,2024-06-02 18:40:18,393601117885,Product A,310.0
2024-06-02 22:41:32,Shipment,604-9934216-3191617,2024-06-03 15:36:00,2024-06-02 18:41:07,393579922332,Product A,789.0
2024-06-02 22:42:56,Shipment,804-6345139-8259322,2024-06-03 00:52:38,2024-06-02 22:37:53,394109934890,Product A,2066.0
2024-06-02 22:42:56,Refund,804-6345139-8259322,2024-06-03 00:52:38,2024-06-02 22:37:53,394109934890,Product A,-2066.0
2024-06-02 22:43:12,Shipment,604-3446413-1499644,2024-06-03 15:36:37,2024-06-02 18:42:31,393629617723,Product A,664.0
2024-06-02 22:43:12,Refund,604-3446413-1499644,2024-06-03 15:36:37,2024-06-02 18:42:31,393629617723,Product A,-664.0
2024-06-02 22:43:43,Shipment,204-5004777-1276206,2024-06-03 13:49:36,2024-06-02 18:43:36,393054667920,Product A,739.0
2024-06-02 22:43:43,Refund,204-5004777-1276206,2024-06-03 13:49:36,2024-06-02 18:43:36,393054667920,Product A,-739.0
2024-06-02 22:45:58,Shipment,604-2767006-8234276,2024-06-03 15:46:18,2024-06-02 18:05:18,394097750932,Product A,672.0
2024-06-02 22:45:58,Refund,604-2767006-8234276,2024-06-03 15:46:18,2024-06-02 18:05:18,394097750932,Product A,-672.0
2024-06-02 22:47:52,Shipment,404-7982398-9430657,2024-06-03 15:37:18,2024-06-02 18:47:26,392614588413,Product A,1211.0
2024-06-02 22:48:31,Shipment,204-6885754-7399896,2024-06-03 15:49:35,2024-06-02 18:47:30,394122161760,Product A,993.0
2024-06-02 22:49:48,Shipment,204-3124869-4693550,2024-06-03 16:26:38,2024-06-02 18:10:28,392562341448,Product A,537.0
2024-06-02 22:49:48,Refund,204-3124869-4693550,2024-06-03 16:26:38,2024-06-02 18:10:28,392562341448,Product A,-537.0
2024-06-02 22:52:33,Shipment,704-4785269-7251510,2024-06-03 15:50:18,2024-06-02 18:51:52,394106811623,Product A,410.0
2024-06-02 22:52:35,Shipment,804-7048221-2557416,2024-06-03 21:56:18,2024-06-02 18:52:25,394119397435,Product A,387.0
2024-06-02 22:53:11,Shipment,604-9098607-0570785,2024-06-04 16:02:14,2024-06-02 18:52:46,394095530427,Product A,287.0
2024-06-02 22:53:11,Refund,604-9098607-0570785,2024-06-04 16:02:14,2024-06-02 18:52:46,394095530427,Product A,-287.0
2024-06-02 22:53:18,Shipment,604-5087033-6434499,2024-06-03 01:35:14,2024-06-02 18:53:05,393072602977,Product A,321.0
2024-06-02 22:55:52,Shipment,704-5565516-1536126,2024-06-03 15:35:18,2024-06-02 18:55:40,393589787925,Product A,353.0
2024-06-02 22:55:52,Shipment,704-5565516-1536126,2024-06-03 15:35:18,2024-06-02 18:55:40,392593660708,Product A,291.0
2024-06-02 22:55:52,Refund,704-5565516-1536126,2024-06-03 15:35:18,2024-06-02 18:55:40,392593660708,Product A,-291.0
2024-06-02 22:55:52,Refund,704-5565516-1536126,2024-06-03 15:35:18,2024-06-02 18:55:40,393589787925,Product A,-353.0
2024-06-02 22:58:36,Cancel,171-9202182-8099019,,,392570870264,,0.0
2024-06-02 22:58:36,Shipment,171-9202182-8099019,2024-06-03 13:45:35,2024-06-02 02:15:39,392570870264,Product A,347.0
2024-06-02 22:59:44,Shipment,704-4375685-4095005,2024-06-03 14:09:14,2024-06-02 18:59:33,393046820409,Product A,594.0
2024-06-02 23:00:03,Shipment,304-3780535-2551353,2024-06-03 02:35:14,2024-06-02 18:59:56,394113625768,Product A,375.0
2024-06-02 23:00:03,Refund,304-3780535-2551353,2024-06-03 02:35:14,2024-06-02 18:59:56,394113625768,Product A,-375.0
